job_title,company,location,salary,tags
Senior Solution Engineer AI Enterprise,2100 NVIDIA USA,🇺🇸 United States,💰 $55k - $100k*,"Docker,Cloud,Engineering,Python,Software,Leader,Linux,Technical,Training,Support,Engineer"
Senior Golang Software Engineer CIS Data Services,Centripetal,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Engineer,Software"
Guidewire Project Manager,Argo Group,🇺🇸 United States,💰 $55k - $85k*,"Growth,Management,Operational,Manager,Technical,Support,System,Design"
Full Stack Software Engineer,Senior Sign,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Engineer,Software"
Product Manager Facility Management Software,Storable,🇺🇸 United States,💰 $80k - $120k*,"Engineering,Software,Executive,Management,Lead,Manager,SaaS,Financial,Scrum,Design,Strategy"
Guidewire Project Manager,Argo Group,🇺🇸 United States,💰 $55k - $85k*,"Growth,Management,Operational,Manager,Technical,Support,System,Design"
Systems Administrator,PointClickCare,Remote or Mississauga,💰 $40k - $95k*,"Applescript,Administrator,Recruiter,Reliability,Cloud,Security,Software,Management,Lead,Technical,Operational,Travel,Support,System,Healthcare"
Senior Go Developer,Sincere,🌏 Probably worldwide,💰 $75k - $115k*,"Golang,Developer,Go"
Senior Software Developer Canada,Smile Digital Health,💰 $55k - $85k*,N/A,"Go,Security,Software,Health,Management,Technical,Medical,Support,Web,Healthcare,Code,Test,Design,Developer"
Job 19029 Senior Developer FullStack Brasil,CI&T,🌏 Probably worldwide,💰 $50k - $80k*,"Fullstack,Firebase,Testing,React,HTML,Web,Mobile,CSS,E-Commerce,Developer,Java"
Senior Security Engineer Enterprise Security,Airbnb,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Security,Engineer"
Senior Go backend Developer,Cycloid,🌏 Probably worldwide,💰 $70k - $110k*,"Golang,Go,Full-Time,Software,Backend,Developer"
Senior Software Engineer Identity,Alpaca,🇺🇸 United States,💰 $58k - $98k*,"Finance,Reliability,Cloud,Engineering,Software,Management,Technical,Support,System,Financial,Code,Test,Backend,Design,Engineer"
Senior AI Engineer,Awin,🇩🇪 Germany,💰 $55k - $100k*,"Chatbot,Cloud,Engineering,Python,Software,Health,Technical,Support,System,Design,Junior,Engineer"
Job 19056 Junior UI Designer Brazil,CI&T,🇧🇷 Brazil,💰 $35k - $60k*,"UX,Engineering,Testing,Health,Support,UI,Design,Junior,Designer"
Junior Recruiter,1840 & Company,"Mexico City, Mexico City",💰 $80k - $120k*,"Recruiter,Growth,Leader,Recruitment,Video,Junior"
Lead .NET Developer,Capco,🌏 Probably worldwide,💰 $63k - $103k*,"Finance,Recruiter,Growth,Cloud,Security,Software,Recruitment,C#,Management,Lead,Technical,Front End,Financial,Code,Developer,DevOps"
Senior Go Developer,Cycloid,🌏 Probably worldwide,💰 $75k - $115k*,"Golang,Go,Software,Full-Time,Developer"
Account Executive,"Definitive Healthcare, US",🇺🇸 United States,💰 $65k - $105k*,"Executive,Support,Growth,Sales"
Senior Software Engineer Backend,Fullstory,🌏 Probably worldwide,💰 $65k - $110k*,"Golang,Backend,Engineer,Software"
