job_title,company,location,salary,tags
Backend Engineer,Flourish Software,🌏 Probably worldwide,💰 $63k - $105k*,"Engineer,Golang,Backend,Software"
Software Engineer Backend,BrowserStack Software Private Limited,Mumbai,💰 $60k - $100k*,"Software,Code,Support,Design,Technical,Engineer,Engineering,Linux,Quality Assurance,Mobile,Backend,Cloud,Testing"
Principal Software Engineer,Recast Software,🇺🇸 United States,💰 $60k - $100k*,"Test,Scrum,Software,Code,Support,Microsoft,Design,Senior,JavaScript,Technical,System,Engineering,Engineer,Cloud,SaaS"
Product Marketing Manager,Recast Software,🇺🇸 United States,💰 $50k - $100k*,"Software,Support,Marketing,Senior,Technical,Growth,Manager,Voice,Security,Sales,Content,Cloud"
Senior Developer Grow My Clinic,Jane Software,🇨🇦 Canada,💰 $60k - $105k*,"Health,Swift,DevOps,Voice,Full-Stack,Front End,Healthcare,Manager,Security,Amazon,Developer,Senior,Ruby,Software,Support,Web,Technical,Growth,Management,Backend"
