job_title,company,location,salary,tags
Staff Software Development Engineer,FIS Management Services LLC,US WA GRT SEA Virtual,💰 $58k - $93k*,"Python,Edu,Recruitment,Engineering,Operational,Full-Time,Junior,Consult,Full-Stack,Design,Security,UI,React,Financial,API,Recruiter,Investment,Banking,Software,Web,Technical,Engineer,Backend,Cloud"
Executive Assistant,Uniswap Labs,🇺🇸 United States,💰 $100k - $120k*,"Health,Lead,Edu,Support,Assistant,Coo,Travel,Executive,Mobile,Full-Time,Ethereum,Ceo"
UX UI Designer,Denver Broncos and Stadium Management Company,🌏 Probably worldwide,💰 $55k - $100k*,"Analytics,Photoshop,Designer,Illustrator,Design,Manager,CSS,UI,HTML,Code,UX,iOS,Android,Game,Copywriting,Web,System,Management,Content,Mobile"
UX UI Designer,Denver Broncos and Stadium Management Company,🌏 Probably worldwide,💰 $55k - $100k*,"Analytics,Photoshop,Designer,Illustrator,Design,Manager,CSS,UI,HTML,Code,UX,iOS,Android,Game,Copywriting,Web,System,Management,Content,Mobile"
Backend Software Engineer Specialist,FIS Management Services LLC,US WA SEA Virtual,💰 $60k - $103k*,"Python,Embedded,Edu,Recruitment,Engineering,Operational,Full-Time,Junior,Consult,Design,Security,Code,Financial,API,Recruiter,Fintech,Banking,Software,Finance,Technical,Growth,Engineer,Backend,Cloud"
Executive Assistant,Tensor,🌏 Probably worldwide,💰 $90k - $120k*,"Operations,Investment,Banking,Support,Assistant,Travel,Executive,Senior,Management,Web3,SaaS"
Product Design Manager,Chime,🌏 Probably worldwide,💰 $70k - $115k*,"Designer,Health,Fintech,Lead,Banking,Director,Support,UX,Web,Finance,Design,Bank,Manager,Full-Time,Music,Financial,Teaching,Mobile"
Executive Assistant Job Share London,Zepz,🌏 Probably worldwide,💰 $48k - $85k*,"Admin,Video,Part-Time,Support,Assistant,Travel,Executive,Full-Time"
Ecosystem Success Manager,Sei Labs,Remote / Global,💰 $90k - $148k*,"Crypto,Defi,NFT,Marketing,Voice,Growth,Manager,Strategy,Gaming"
Executive Assistant Payer,Datavant,🌏 Probably worldwide,💰 $60k - $120k*,"Health,Support,Assistant,Travel,Executive,Recruitment,Healthcare,Growth,System,Manager,Management"
Group Product Manager Cash Advance,Cleo,🇬🇧 United Kingdom,💰 $60k - $120k*,"Health,Strategy,Fintech,Lead,Leader,Support,Finance,Senior,Manager,Founder,Management,Financial"
Senior CRM Manager Credit,Careers at Tide,🇬🇧 United Kingdom,💰 $55k - $110k*,"Health,Marketing,Voice,Operational,Testing,Design,Manager,Strategy,HTML,Scheme,Test,Senior,Financial,Admin,Fintech,Banking,Support,Finance,Technical,Growth,Management"
Account Executive,Attest,🇬🇧 United Kingdom,💰 $53k - $113k*,"Salesforce,Support,Executive,Marketing,Growth,Sales,SaaS"
